id,en_title,activity_type,location,difficulty,distance_m,duration_min,summary,keywords,summary_source,hazard_flags,condition_flags,has_hazard,has_condition_info
smgpoia96ebdbcdabcc8ce830dee796dea0d92,Winter hike Corvara - Pisciadú waterfalls,climbing,Corvara,2,900.0,4.2,Climbing route in Corvara.,"winter, corvara - pisciadú",template,,,False,False
smgpoi78e4f76ff00fbae98ea09cd7b89c1ad1,Winter hiking path: San Sigismondo/St. Sigmund butterfly trail,climbing,Kiens/Chienes,2,900.0,4.2,Climbing route in Kiens/Chienes.,"winter hiking path, winter, san sigismondo/, st. sigmund",template,,,False,False
smgpoi0016bf49a7c70d5af13a30b056e37e2e,Winter hike: The Kradorfer Alm hut in the Gsiesertal Valley 1704 m,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"the kradorfer alm, the gsiesertal valley, winter hike, winter, 1704",template,,,False,False
smgpoi6c1824d575cd063c547568b84116869c,Winter hike: The Messnerhütte hut in the Gsiesertal Valley 1660 m,skiing,Gsies/Valle di Casies,2,900.0,4.2,Skiing route in Gsies/Valle di Casies.,"winter hike, the messnerhütte hut, the gsiesertal valley, winter, messnerhütte",template,,,False,False
smgpoid4b39dd5cda571b7f48270a60feb8da1,Winter hike: The Moos Alm hut in the Val Casies 1477 m,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"winter hike, the moos alm hut, the val casies, 1477 m, winter",template,,,False,False
smgpoidab0972cf58a8e5a482ed7f8f34a78f8,Winter hike: The Stumpfalm hut in the Gsiesertal Valley 2000 m,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"winter hike, the stumpfalm hut, the gsiesertal valley, winter, the gsiesertal valley 2000",template,,,False,False
smgpoief4439f1407df7acd607c057fa7c16f3,Winter hike: The Taistner Alm hut in Taisten 2012 m,climbing,Rasen-Antholz/Rasun Anterselva,2,900.0,4.2,Climbing route in Rasen-Antholz/Rasun Anterselva.,"the taistner alm, winter hike, taisten, winter, 2012",template,,,False,False
smgpoi7b8680f73f55b1adee83ef58baa13a69,Winter hike: The Uwald Alm hut in the Gsiesertal Valley 2042 m,climbing,Gsies/Valle di Casies,2,900.0,4.2,Climbing route in Gsies/Valle di Casies.,"the uwald alm, the gsiesertal valley, winter hike, winter",template,,,False,False
smgpoi7859e3451c5431b1a356954fa55e61f2,Winter hike: Circular Path Rasen,climbing,Rasen-Antholz/Rasun Anterselva,2,900.0,4.2,Climbing route in Rasen-Antholz/Rasun Anterselva.,"circular path rasen, winter hike, winter",template,,,False,False
smgpoi993c11273fea8417fe8aafe12c4b9923,Three Peaks View/Landro,climbing,Sexten/Sesto,2,900.0,4.2,Climbing route in Sexten/Sesto.,"three peaks view/landro, three, peaks view/landro",template,,,False,False
